id,brewery_id,name
211,70,Der Weisse Bock
212,176,Stouterik / The Brussels Stout
213,779,Black Jack Porter
214,161,Lunar Ale
215,604,Denver Pale Ale / DPA
216,296,Grotten Flemish Ale
217,1316,Grand Cru
218,501,Summer Common
219,1185,Golden Ale
220,174,Ambree
221,296,Pater 6
222,187,Blanche de Namur
223,905,Skinny Dip
224,174,Blanche Double
225,236,Summer Bright Ale
226,905,Mothership Wit
227,696,Lia Fail Stone of Destiny Ale
228,395,Premium XB Bluebird Bitter
229,1056,IPA
230,167,Houblon
231,935,Double Pilsner
232,708,Creamy Dark
233,757,Premium Pils Edelherb
234,590,StÃ¼venbrÃ¤u Maibock
235,590,Jack of Spades Schwarzbier
236,1179,Shiner Hefeweizen
237,1154,Sapporo Premium Beer
238,501,Dark German Lager
239,44,Spring Heat Spiced Wheat
240,567,Gose
241,1176,Pils
242,1274,New
243,369,Eisenbahn Defumada
244,369,Eisenbahn Escura
245,369,Eisenbahn Dourada
246,501,Fallen Angel Sweet Stout
247,604,Hot Shot ESB
248,312,Porter
249,923,NÃ¸gne Ã˜ Imperial Stout
250,923,NÃ¸gne Ã˜ Porter
251,923,NÃ¸gne Ã˜ Pale Ale
252,501,Eccentric Belgian Wheat
253,1265,Oatmeal Stout
254,1265,Amber Light
255,1265,New World Wheat
256,1265,Maibock
257,1265,Ironwood Dark
258,1265,Cascade Amber
259,1265,Alpine Gold
260,624,Illuminator Doppelbock
261,624,Old Princeton Landing IPA
262,624,Paddle Out Stout
263,624,Pillar Point Pale Ale
264,624,Sandy Beach Blonde Hefeweizen
265,624,Mavericks Amber Ale
266,624,Harbor Light Ale
267,1126,Leroy Barleywine
268,1126,Oatmeal Stout
269,1126,Amber
270,1126,Blur IPA
271,1126,Pelican Pale
272,1126,Brew Ribbon
273,701,Casey Jones Imperial IPA
274,701,Fairfax Coffee Porter
275,701,Epiphany Ale
276,701,IPA
277,701,Chazz Cat Rye
278,701,Shining Star Pale Ale
279,701,Honey Bunny Blonde Ale
280,701,Kent Lake Kolsch
281,892,Old Blarney Barleywine
